15:04:16.652 [Thread-1 (_run) ] INFO     serial_controller.serial_handler Scanning for STM32 on COM ports...
15:04:24.722 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2011) -> yaw=0 throttle=491
15:04:24.824 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1862,1864) -> roll=0 pitch=0
15:04:24.824 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2011) -> yaw=0 throttle=491
15:04:24.838 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:24.839 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:24.925 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1861,1863) -> roll=0 pitch=0
15:04:24.925 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2012) -> yaw=0 throttle=491
15:04:25.026 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1861,1863) -> roll=0 pitch=0
15:04:25.026 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2007,2012) -> yaw=0 throttle=491
15:04:25.127 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:25.128 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2008,2010) -> yaw=0 throttle=490
